local_noon_str,local_noon_lst
2024-06-17T04:14:18,86.162
2024-06-18T04:14:31,87.202
2024-06-19T04:14:44,88.242
2024-06-20T04:14:57,89.282
2024-06-21T04:15:10,90.322
2024-06-22T04:15:23,91.361
2024-06-23T04:15:36,92.401
2024-06-24T04:15:49,93.440
2024-06-25T04:16:01,94.479
2024-06-26T04:16:14,95.517
2024-06-27T04:16:26,96.554
2024-06-28T04:16:39,97.591
2024-06-29T04:16:51,98.628
2024-06-30T04:17:03,99.663
2024-07-01T04:17:14,100.697
2024-07-02T04:17:26,101.731
2024-07-03T04:17:37,102.763
2024-07-04T04:17:48,103.794
2024-07-05T04:17:58,104.824
2024-07-06T04:18:09,105.852
2024-07-07T04:18:18,106.878
2024-07-08T04:18:28,107.903
2024-07-09T04:18:37,108.927
2024-07-10T04:18:45,109.948
2024-07-11T04:18:53,110.968
2024-07-12T04:19:01,111.985
2024-07-13T04:19:08,113.001
2024-07-14T04:19:15,114.014
2024-07-15T04:19:21,115.025
2024-07-16T04:19:27,116.034
2024-07-17T04:19:32,117.041
2024-07-18T04:19:36,118.046
2024-07-19T04:19:40,119.048
2024-07-20T04:19:44,120.048
2024-07-21T04:19:46,121.045
2024-07-22T04:19:49,122.040
2024-07-23T04:19:50,123.033
2024-07-24T04:19:51,124.023
2024-07-25T04:19:52,125.011
2024-07-26T04:19:52,125.997
2024-07-27T04:19:51,126.980
2024-07-28T04:19:50,127.960
2024-07-29T04:19:48,128.938
2024-07-30T04:19:46,129.914
2024-07-31T04:19:43,130.887
2024-08-01T04:19:39,131.858
2024-08-02T04:19:35,132.826
2024-08-03T04:19:30,133.792
2024-08-04T04:19:25,134.755
2024-08-05T04:19:19,135.716
2024-08-06T04:19:13,136.674
2024-08-07T04:19:05,137.630
2024-08-08T04:18:58,138.583
2024-08-09T04:18:49,139.534
2024-08-10T04:18:40,140.482
2024-08-11T04:18:31,141.428
2024-08-12T04:18:21,142.371
2024-08-13T04:18:10,143.312
2024-08-14T04:17:59,144.251
2024-08-15T04:17:47,145.187
2024-08-16T04:17:35,146.121
2024-08-17T04:17:22,147.053
2024-08-18T04:17:08,147.983
2024-08-19T04:16:54,148.911
2024-08-20T04:16:40,149.836
2024-08-21T04:16:25,150.760
2024-08-22T04:16:10,151.681
2024-08-23T04:15:54,152.601
2024-08-24T04:15:38,153.519
2024-08-25T04:15:21,154.436
2024-08-26T04:15:04,155.351
2024-08-27T04:14:47,156.264
2024-08-28T04:14:30,157.176
2024-08-29T04:14:12,158.087
2024-08-30T04:13:53,158.996
2024-08-31T04:13:35,159.903
2024-09-01T04:13:16,160.810
2024-09-02T04:12:56,161.715
2024-09-03T04:12:37,162.620
2024-09-04T04:12:17,163.523
2024-09-05T04:11:57,164.425
2024-09-06T04:11:37,165.326
2024-09-07T04:11:17,166.226
2024-09-08T04:10:56,167.126
2024-09-09T04:10:35,168.025
2024-09-10T04:10:14,168.923
2024-09-11T04:09:53,169.820
2024-09-12T04:09:32,170.717
2024-09-13T04:09:11,171.614
2024-09-14T04:08:49,172.510
2024-09-15T04:08:28,173.406
2024-09-16T04:08:06,174.302
2024-09-17T04:07:45,175.197
2024-09-18T04:07:23,176.093
2024-09-19T04:07:02,176.989
2024-09-20T04:06:40,177.885
2024-09-21T04:06:19,178.781
2024-09-22T04:05:58,179.678
2024-09-23T04:05:36,-179.425
2024-09-24T04:05:15,-178.526
2024-09-25T04:04:55,-177.628
2024-09-26T04:04:34,-176.728
2024-09-27T04:04:14,-175.828
2024-09-28T04:03:53,-174.926
2024-09-29T04:03:33,-174.024
